Date,Open,High,Low,Close
05/23/2022,"3,919.42","3,981.88","3,909.04","3,973.75"
05/20/2022,"3,927.76","3,943.42","3,810.32","3,901.36"
05/19/2022,"3,899.00","3,945.96","3,876.58","3,900.79"
05/18/2022,"4,051.98","4,051.98","3,911.91","3,923.68"
05/17/2022,"4,052.00","4,090.72","4,033.93","4,088.85"
05/16/2022,"4,013.02","4,046.46","3,983.99","4,008.01"
05/13/2022,"3,963.90","4,038.88","3,963.90","4,023.89"
05/12/2022,"3,903.95","3,964.80","3,858.87","3,930.08"
05/11/2022,"3,990.08","4,049.09","3,928.82","3,935.18"
05/10/2022,"4,035.18","4,068.82","3,958.17","4,001.05"
05/09/2022,"4,081.27","4,081.27","3,975.48","3,991.24"
05/06/2022,"4,128.17","4,157.69","4,067.91","4,123.34"
05/05/2022,"4,270.43","4,270.43","4,106.01","4,146.87"
05/04/2022,"4,181.18","4,307.66","4,148.91","4,300.17"
05/03/2022,"4,159.78","4,200.10","4,147.08","4,175.48"
05/02/2022,"4,130.61","4,169.81","4,062.51","4,155.38"
04/29/2022,"4,253.75","4,269.68","4,124.28","4,131.93"
04/28/2022,"4,222.58","4,308.45","4,188.63","4,287.50"
04/27/2022,"4,186.52","4,240.71","4,162.90","4,183.96"
04/26/2022,"4,278.14","4,278.14","4,175.04","4,175.20"
04/25/2022,"4,255.34","4,299.02","4,200.82","4,296.12"
04/22/2022,"4,385.83","4,385.83","4,267.62","4,271.78"
04/21/2022,"4,489.17","4,512.94","4,384.47","4,393.66"
04/20/2022,"4,472.26","4,488.29","4,448.76","4,459.45"
04/19/2022,"4,390.63","4,471.03","4,390.63","4,462.21"
04/18/2022,"4,385.63","4,410.31","4,370.30","4,391.69"
04/14/2022,"4,449.12","4,460.46","4,390.77","4,392.59"
04/13/2022,"4,394.30","4,453.92","4,392.70","4,446.59"
04/12/2022,"4,437.59","4,471.00","4,381.34","4,397.45"
04/11/2022,"4,462.64","4,464.35","4,408.38","4,412.53"
04/08/2022,"4,494.15","4,520.41","4,474.60","4,488.28"
04/07/2022,"4,474.65","4,521.16","4,450.30","4,500.21"
04/06/2022,"4,494.17","4,503.94","4,450.04","4,481.15"
04/05/2022,"4,572.45","4,593.45","4,514.17","4,525.12"
04/04/2022,"4,547.97","4,583.50","4,539.21","4,582.64"
04/01/2022,"4,540.32","4,548.70","4,507.57","4,545.86"
03/31/2022,"4,599.02","4,603.07","4,530.41","4,530.41"
03/30/2022,"4,624.20","4,627.77","4,581.32","4,602.45"
03/29/2022,"4,602.86","4,637.30","4,589.66","4,631.60"
03/28/2022,"4,541.09","4,575.65","4,517.69","4,575.52"
03/25/2022,"4,522.91","4,546.03","4,501.07","4,543.06"
03/24/2022,"4,469.98","4,520.58","4,465.17","4,520.16"
03/23/2022,"4,493.10","4,501.07","4,455.81","4,456.24"
03/22/2022,"4,469.10","4,522.00","4,469.10","4,511.61"
03/21/2022,"4,462.40","4,481.75","4,424.30","4,461.18"
03/18/2022,"4,407.34","4,465.40","4,390.57","4,463.12"
03/17/2022,"4,345.11","4,412.67","4,335.65","4,411.67"
03/16/2022,"4,288.14","4,358.90","4,251.99","4,357.86"
03/15/2022,"4,188.82","4,271.05","4,187.90","4,262.45"
03/14/2022,"4,202.75","4,247.57","4,161.72","4,173.11"
03/11/2022,"4,279.50","4,291.01","4,200.49","4,204.31"
03/10/2022,"4,252.55","4,268.28","4,209.80","4,259.52"
03/09/2022,"4,223.10","4,299.40","4,223.10","4,277.88"
03/08/2022,"4,202.66","4,276.94","4,157.87","4,170.70"
03/07/2022,"4,327.01","4,327.01","4,199.85","4,201.09"
03/04/2022,"4,342.12","4,342.12","4,284.98","4,328.87"
03/03/2022,"4,401.31","4,416.78","4,345.56","4,363.49"
03/02/2022,"4,322.56","4,401.48","4,322.56","4,386.54"
03/01/2022,"4,363.14","4,378.45","4,279.54","4,306.26"
02/28/2022,"4,354.17","4,388.84","4,315.12","4,373.94"
02/25/2022,"4,298.38","4,385.34","4,286.83","4,384.65"
02/24/2022,"4,155.77","4,294.73","4,114.65","4,288.70"
02/23/2022,"4,324.93","4,341.51","4,221.51","4,225.50"
02/22/2022,"4,332.74","4,362.12","4,267.11","4,304.76"
02/18/2022,"4,384.57","4,394.60","4,327.22","4,348.87"
02/17/2022,"4,456.06","4,456.06","4,373.81","4,380.26"
02/16/2022,"4,455.75","4,489.55","4,429.68","4,475.01"
02/15/2022,"4,429.28","4,472.77","4,429.28","4,471.07"
02/14/2022,"4,412.61","4,426.22","4,364.84","4,401.67"
02/11/2022,"4,506.27","4,526.33","4,401.41","4,418.64"
02/10/2022,"4,553.24","4,588.92","4,484.31","4,504.08"
02/09/2022,"4,547.00","4,590.03","4,547.00","4,587.18"
02/08/2022,"4,480.02","4,531.32","4,465.40","4,521.54"
02/07/2022,"4,505.75","4,521.86","4,471.47","4,483.87"
02/04/2022,"4,482.79","4,539.66","4,451.50","4,500.53"
02/03/2022,"4,535.41","4,542.88","4,470.39","4,477.44"
02/02/2022,"4,566.39","4,595.31","4,544.32","4,589.38"
02/01/2022,"4,519.57","4,550.49","4,483.53","4,546.54"
01/31/2022,"4,431.79","4,516.89","4,414.02","4,515.55"
01/28/2022,"4,336.19","4,432.72","4,292.46","4,431.85"
01/27/2022,"4,380.58","4,428.74","4,309.50","4,326.51"
01/26/2022,"4,408.43","4,453.23","4,304.80","4,349.93"
01/25/2022,"4,366.64","4,411.01","4,287.11","4,356.45"
01/24/2022,"4,356.32","4,417.35","4,222.62","4,410.13"
01/21/2022,"4,471.38","4,494.52","4,395.34","4,397.94"
01/20/2022,"4,547.35","4,602.11","4,477.95","4,482.73"
01/19/2022,"4,588.03","4,611.55","4,530.20","4,532.76"
01/18/2022,"4,632.24","4,632.24","4,568.70","4,577.11"
01/14/2022,"4,637.99","4,665.13","4,614.75","4,662.85"
01/13/2022,"4,733.56","4,744.13","4,650.29","4,659.03"
01/12/2022,"4,728.59","4,748.83","4,706.71","4,726.35"
01/11/2022,"4,669.14","4,714.13","4,638.27","4,713.07"
01/10/2022,"4,655.34","4,673.02","4,582.24","4,670.29"
01/07/2022,"4,697.66","4,707.95","4,662.74","4,677.03"
01/06/2022,"4,693.39","4,725.01","4,671.26","4,696.05"
01/05/2022,"4,787.99","4,797.70","4,699.44","4,700.58"
01/04/2022,"4,804.51","4,818.62","4,774.27","4,793.54"
01/03/2022,"4,778.14","4,796.64","4,758.17","4,796.56"
