Date,Open,High,Low,Close,Volume
04/18/2022,"18.68","18.81","18.25","18.66","716,319"
04/14/2022,"19.06","19.27","18.65","18.70","635,993"
04/13/2022,"18.72","19.24","18.68","19.05","397,065"
04/12/2022,"19.09","19.47","18.78","18.82","499,918"
04/11/2022,"18.66","19.31","18.60","18.99","568,112"
04/08/2022,"18.89","18.96","18.47","18.76","871,370"
04/07/2022,"19.57","19.62","18.47","18.80","973,246"
04/06/2022,"20.10","20.15","19.59","19.68","879,107"
04/05/2022,"20.43","20.94","20.29","20.34","604,213"
04/04/2022,"20.61","20.67","20.27","20.50","586,031"
04/01/2022,"20.63","20.84","20.39","20.59","1,195,343"
03/31/2022,"20.74","20.90","20.47","20.51","590,306"
03/30/2022,"21.01","21.22","20.68","20.76","483,507"
03/29/2022,"20.61","21.13","20.53","21.09","1,057,902"
03/28/2022,"19.99","20.41","19.98","20.32","900,282"
03/25/2022,"19.98","20.14","19.83","20.13","687,950"
03/24/2022,"19.83","20.00","19.59","19.93","738,247"
03/23/2022,"20.11","20.28","19.73","19.76","610,810"
03/22/2022,"20.29","20.47","20.02","20.23","1,033,288"
03/21/2022,"20.50","20.73","19.96","20.12","926,227"
03/18/2022,"20.50","20.74","20.29","20.53","1,203,665"
03/17/2022,"20.38","20.65","20.29","20.51","750,485"
03/16/2022,"20.37","20.97","20.10","20.61","1,023,586"
03/15/2022,"19.88","20.34","19.76","20.00","940,182"
03/14/2022,"19.78","20.29","19.43","19.64","1,042,469"
03/11/2022,"19.75","19.85","19.52","19.63","707,498"
03/10/2022,"19.01","19.56","19.01","19.49","735,901"
03/09/2022,"19.33","19.82","19.31","19.60","961,358"
03/08/2022,"19.16","19.41","18.70","18.74","1,100,597"
03/07/2022,"19.81","19.81","18.86","18.89","2,324,557"
03/04/2022,"20.74","21.01","19.78","19.90","1,490,361"
03/03/2022,"21.99","22.12","20.78","21.11","1,408,007"
03/02/2022,"21.63","22.15","21.53","21.82","1,562,498"
03/01/2022,"22.05","22.34","21.22","21.33","2,111,525"
02/28/2022,"22.70","22.96","21.40","21.92","1,911,391"
02/25/2022,"23.00","23.54","22.50","23.12","3,138,181"
02/24/2022,"21.55","22.52","21.28","22.45","1,228,635"
02/23/2022,"22.73","23.15","22.07","22.12","1,096,628"
02/22/2022,"22.37","22.86","22.10","22.68","874,398"
02/18/2022,"22.49","23.00","22.32","22.62","925,488"
02/17/2022,"22.83","23.22","22.58","22.80","932,567"
02/16/2022,"22.04","23.25","21.94","23.12","1,653,224"
02/15/2022,"21.76","22.13","21.64","22.04","752,146"
02/14/2022,"22.05","22.20","21.34","21.50","674,533"
02/11/2022,"22.29","22.57","21.84","22.05","564,914"
02/10/2022,"21.77","22.56","21.63","22.17","695,848"
02/09/2022,"21.90","22.40","21.88","22.18","601,167"
02/08/2022,"21.60","21.86","21.32","21.68","510,898"
02/07/2022,"21.13","21.63","21.08","21.46","574,178"
02/04/2022,"21.28","21.46","20.92","21.21","701,179"
02/03/2022,"21.34","21.69","21.28","21.46","831,851"
02/02/2022,"21.23","21.93","21.23","21.59","1,133,767"
02/01/2022,"21.09","21.35","20.90","21.19","1,153,527"
01/31/2022,"20.33","20.99","20.33","20.99","887,200"
01/28/2022,"20.15","20.46","19.64","20.46","1,122,745"
01/27/2022,"20.95","20.95","19.97","20.15","1,206,330"
01/26/2022,"20.83","21.14","20.24","20.66","1,676,848"
01/25/2022,"21.44","21.49","20.47","20.52","1,618,385"
01/24/2022,"21.00","21.94","20.47","21.76","1,474,885"
01/21/2022,"20.86","21.61","20.73","21.30","1,279,875"
01/20/2022,"21.11","21.53","20.69","20.75","952,331"
01/19/2022,"21.47","21.58","20.92","20.93","498,339"
01/18/2022,"21.45","21.74","21.25","21.42","648,082"
01/14/2022,"22.01","22.04","21.49","21.80","584,860"
01/13/2022,"22.23","22.43","22.02","22.20","604,669"
01/12/2022,"21.84","22.09","21.75","22.04","686,260"
01/11/2022,"21.53","21.92","20.99","21.90","774,122"
01/10/2022,"21.48","21.54","21.04","21.40","750,831"
01/07/2022,"21.94","22.08","21.62","21.72","624,620"
01/06/2022,"21.94","22.38","21.82","22.00","652,737"
01/05/2022,"22.59","22.66","21.77","21.82","886,763"
01/04/2022,"22.49","22.77","22.36","22.61","598,522"
01/03/2022,"22.35","22.68","22.07","22.31","1,115,787"
